GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
2115,1,0,0,0,0,0,1,0,0
2116,1,1,0,0,0,0,1,0,0
2117,1,1,0,0,0,0,1,0,0
2118,1,0,0,0,0,0,1,0,0
2120,1,1,1,1,0,0,1,0,0
2122,1,0,0,0,0,0,1,0,0
2129,1,1,0,0,0,0,1,0,0
2130,1,1,0,0,0,0,1,0,0
2131,1,1,0,0,0,0,1,0,0
2132,1,1,0,0,1,0,1,0,0
2146,1,1,0,0,0,0,1,0,0
2147,1,1,0,0,1,0,1,0,0
2155,1,1,1,1,0,0,1,0,0
2159,1,0,0,0,0,0,1,0,0
2160,1,1,0,0,0,0,1,0,0
2175,1,0,0,0,0,0,1,0,0
2178,1,0,0,0,0,0,1,0,0
2179,1,0,0,0,0,0,1,0,0
2188,1,1,0,0,0,0,1,0,0
2190,1,1,1,1,0,0,1,0,0
2195,1,1,1,1,0,0,1,0,0
2196,1,1,0,0,0,0,1,0,0
2197,0,0,0,0,0,0,0,0,0
2198,1,0,0,0,0,0,1,0,0
2199,1,0,0,0,0,0,1,0,0
2201,1,0,0,0,0,0,1,0,0
2202,1,1,0,0,0,0,1,0,0
2203,1,1,0,0,0,0,1,0,0
2205,1,0,0,0,0,0,1,0,0
2206,1,0,0,0,0,0,1,0,0
2207,1,1,0,0,0,0,1,0,0
2208,1,1,0,0,0,0,1,0,0
2209,1,0,0,0,0,0,1,0,0
2210,1,0,0,0,0,0,1,0,0
2211,0,0,0,0,0,0,0,0,0
2212,1,1,0,0,0,0,1,0,0
2213,1,1,0,0,0,0,1,0,0
2214,1,1,0,0,0,0,1,0,0
2215,1,1,1,1,0,0,1,0,0
2216,1,1,1,1,0,0,1,0,0
2217,1,1,0,0,0,0,1,0,0
2218,1,1,0,0,0,0,1,0,0
2219,1,0,0,0,0,0,1,0,0
2221,1,1,0,0,0,0,1,0,0
2223,1,1,0,0,0,0,1,0,0
2224,1,0,0,0,0,0,1,0,0
2225,1,0,0,0,0,0,1,0,0
2226,1,0,0,0,0,0,1,0,0
2227,1,0,0,0,0,0,1,0,0
2228,1,0,0,0,0,0,1,0,0
2229,1,0,0,0,0,0,1,0,0
2230,1,0,0,0,0,0,1,0,0
2232,1,1,0,0,0,0,1,0,0
2233,0,0,0,0,0,0,0,0,0
2234,1,0,0,0,0,0,1,0,0
2235,1,1,0,0,0,0,1,0,0
2236,1,0,0,0,0,0,1,0,0
2237,1,1,1,1,0,0,1,0,0
2238,1,1,0,0,0,0,1,0,0
2239,1,1,0,0,0,0,1,0,0
2240,1,1,0,0,0,0,1,0,0
2241,1,0,0,0,0,0,1,0,0
2242,1,1,0,0,0,0,1,0,0
2243,1,0,0,0,0,0,1,0,0
2244,1,0,0,0,0,0,1,0,0
2245,1,0,0,0,0,0,1,0,0
2246,1,1,1,1,0,0,1,0,0
2247,1,1,1,1,0,0,1,0,0
2248,1,1,1,1,0,0,1,0,0
2249,1,1,0,0,0,0,1,0,0
2250,0,0,0,0,0,0,0,0,0
2251,1,1,0,0,0,0,1,0,0
2252,1,0,0,0,0,0,1,0,0
2254,1,1,0,0,0,0,1,0,0
2257,1,0,0,0,0,0,1,0,0
2258,1,1,1,1,0,0,1,0,0
2260,1,0,0,0,0,0,1,0,0
2262,1,0,0,0,0,0,1,0,0
2263,1,1,0,0,0,0,1,0,0
2264,1,1,1,1,0,0,1,0,0
2266,1,0,0,0,0,0,1,0,0
2267,1,0,0,0,0,0,1,0,0
2268,0,0,0,0,0,0,0,0,0
2269,1,0,0,0,0,0,1,0,0
2270,1,0,0,0,0,0,1,0,0
2271,1,1,1,1,0,0,1,0,0
2272,0,0,0,0,0,0,0,0,0
2273,1,1,1,1,0,0,1,0,0
2274,1,1,1,1,0,0,1,0,0
2276,1,0,0,0,0,0,1,0,0
2279,1,1,0,0,0,0,1,0,0
2280,1,0,0,0,0,0,1,0,0
2283,1,1,0,0,1,0,1,0,0
2284,1,1,0,0,1,0,1,0,0
2288,1,1,0,0,1,0,1,0,0
2289,1,1,0,0,0,0,1,0,0
2290,1,0,0,0,0,0,1,0,0
2291,1,1,0,0,0,0,1,0,0
2292,1,1,0,0,0,0,1,1,0
2293,1,1,0,0,0,0,1,0,0
2296,1,1,1,1,0,0,1,0,0
2297,1,1,0,0,0,0,1,0,0
2298,1,0,0,0,0,0,1,0,0
2299,1,1,1,1,0,0,1,0,0
2300,0,0,0,0,0,0,0,0,0
2301,1,1,1,1,0,0,1,0,0
2302,1,1,0,0,1,0,1,0,0
2311,1,0,0,0,0,0,1,0,0
2313,1,1,0,0,0,0,1,0,0
2316,1,1,0,0,0,0,1,0,0
2320,1,1,0,0,0,0,1,0,0
2321,1,1,1,1,0,0,1,0,0
2322,0,0,0,0,0,0,0,0,0
2329,1,1,0,0,0,0,1,0,0
2333,0,0,0,0,0,0,0,0,0
2336,0,0,0,0,0,0,0,0,0
2338,1,1,0,0,0,0,1,0,0
2339,1,1,1,1,0,0,1,0,0
2340,1,1,0,0,0,0,1,0,0
2358,0,0,0,0,0,0,0,0,0
2376,1,1,0,0,0,0,1,0,0
2377,1,1,0,0,0,0,1,0,0
2388,1,0,0,0,0,0,1,0,0
2389,1,1,1,1,0,0,1,0,0
2390,1,1,0,0,0,0,1,0,0
2391,1,0,0,0,0,0,1,0,0
2392,1,1,0,0,0,0,1,0,0
2393,1,1,1,1,0,0,1,0,0
2394,1,1,1,1,0,0,1,0,0
2395,1,1,0,0,0,0,1,0,0
2396,1,0,0,0,0,0,1,0,0
2397,1,0,0,0,0,0,1,0,0
2398,1,1,0,0,0,0,1,0,0
2399,1,0,0,0,0,0,1,0,0
2400,1,1,1,1,0,0,1,0,0
2401,1,1,1,1,0,0,1,0,0
2402,1,1,0,0,0,0,1,0,0
2403,1,1,0,0,0,0,1,0,0
2404,1,0,0,0,0,0,1,0,0
