Author,Book Name,Accession No
-,"Last years solved papers in Science stream 2016-17, class 12",5867
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5255
-,Knowledge +,4104
-,"Last years solved papers in Humanities stream 2016-17, class 12",5866
-,Solution to pracice papers of Accountancy 2016-17,5861
-,"Yes success : CBSE  sample question papers in science, term-1",5254
-,"Yes success : CBSE  sample question papers in science, term-1",5253
-,"Yes success : CBSE  sample question papers in English, term-1",5252
-,Madhup Hindi Pathmala,5858
-,Number magic 5,5853
-,Mathematics 10,5852
-,Practise mathematics 5,5851
-,"Yes success : CBSE  sample question papers in social science, term-1",5251
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5250
-,"Yes success : CBSE  sample question papers in English, term-1",5249
-,"Yes success : CBSE  sample question papers in mathematics, term-1",5248
-,"Yes success : CBSE  sample question papers in social science, term-1",5247
-,"Yes success : CBSE  sample question papers in science, term-1",5246
-,World famous personality,5849
-,English First,5835
-,The Grammar Gate 7,5833
-,"Sample question papers Social Science term 1 & 2, class 8",5832
-,"Yes success : CBSE  sample question papers in science, term-1",5245
-,"Sample question papers Mathematics for march 2017, class 9",5831
-,"Sample question papers Science for March 2017, class 10",5825
-,"Question bank with solution in Physics for March 2017, class 12",5822
-,"Sample question papers Mathematics for march 2017, class 12",5821
-,Indian economic development,5815
-,"Xam idea  science term-2,  class 9",5813
-,Marvel civil war: captian America,5802
-,"Xam idea  science term-2,  class 9",5799
-,"Social Science term 2, class 10",5796
-,"Social Science term 1, class 10",5795
-,"Social Science term 1, class 10",5794
-,NTSE,4922
-,"Social Science , class 9",5792
-,"English First: A multi skill Language Course: teacher resource pack, class 8",5790
-,"English First: A multi skill Language Course: teacher resource pack, class 8",5789
-,Self study in social science,4098
-,"English First: A multi skill Language Course: teacher resource pack, class 7",5788
-,"English First: A multi skill Language Course: teacher resource pack, class 6",5786
-,20+ sample papers social science,3696
-,Mathematics 5,5785
-,Success magnet for JEE advanced 2016: Mathematics part2,5783
-,Hot Career opening for gradutes,4670
-,Success magnet for JEE advanced 2016: Chemistry part 2,5771
-,Success magnet for JEE advanced 2016: Chemistry part 1,5770
-,Dictionary of Physics,5767
-,Dictionary of Chemistry,5766
-,Enhance our knowledge 6,4095
-,"Physics: mechanics  JEE(mains+advanced) vol 2 ,class 12",5756
-,"Mathematics: integral calculus JEE(mains+advanced),class 12",5755
-,"Chemistry:organic chemistry JEE(mains+advanced) vol  2,class 12",5754
-,37 years chapterwise topicwise solved paper 2015 IIT JEE  |Mathematics,5752
-,Complete sucess package for online BITSAT 2013,5746
-,"AIEEE explorer, class 12",5744
-,"Question bank in English communicative term 1, class 10",5682
-,"Hindi vyakran,class 9-10",5677
-,"Vyakran darshika, class 9-10",5676
-,"Hindi B, class 9",5675
-,"Xam idea mathematics term 2, class 10",5672
-,"Progress in Computer Science with Python practical book , class 12",5661
-,"Progress in Computer Science with Python text book , class 12",5660
-,"15 sample question papers in Accountancy, class 12",5659
-,Count on tips 5,5227
-,"Mathematics solved question papers term 2, class 10",5658
-,"Science solved question papers term 2, class 10",5657
-,"Social Science solved question papers term 2, class 10",5656
-,You can win (with CD),4652
-,Oxford Hindi English thesarus,4651
-,"Success with maths ahed: teacher''s manual, class 4",5631
-,Sample papers English 10:for 2020 exam,5226
-,"Success with maths ahed: teacher''s manual, class 3",5629
-,"Success with maths ahed: teacher''s manual, class 2",5627
-,Learning mathematics  5,5222
-,"Success with maths ahed: teacher''s manual, class 1",5625
-,Knowledge world,4921
-,"Next explorers EVS, class 2",5611
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 7",5598
-,Sample papers Science: for 2020 exam,5219
-,Stephen Hawings : a biography,4088
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 6",5597
-,Maths quest 5,5215
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 5",5596
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 4",5595
-,Introductory microeconomics,4828
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 3",5594
-,Grammar and Creative Writing,4526
-,"What''s what book For General knowledge: life skill & brain-teasrs, class 1",5592
-,"Mathematics Olympiad , Set B- Class  1-11",5583
-,"Mathematics Olympiad , Set B- Class  1-11",5582
-,"Computers and information technology, Set B- Class  2-11",5581
-,Business Studies,5569
-,Last 5 years solved papers in Mathematics,5568
-,Value education,4837
-,Social science History,5567
-,Statistics for economics 11,5563
-,"100% Success sample papers in English Communicative , term 2, class  9",5562
-,"100% Success sample papers in Mathematics, term 2, class 10",5561
-,Exam matra : sample question papers 10,4841
-,Xamidea science 7,5209
-,"100% Success sample papers in English Communicative , term 2, class 10",5560
-,"100% Success sample papers in Social Science, term 2, class 10",5559
-,Our environment: textbook in geography for class 7,5555
-,Chemistry volumne 2,5554
-,Sample papers mathematics 10,3797
-,Value education 5,5552
-,Nayi udaan 5,5534
-,"Open text based assessments,term 2,class 9",5515
-,Interaction social science,5511
-,A better you,4844
-,Brainy: a book of general knowledge,4084
-,Moral stairs of mankind,4848
-,Mathematics,5510
-,GK,5509
-,"Together with Sanskritam with solution, term 2 ,Class 10",5507
-,Together with : objective type questions,4864
-,Mathematics 9,5202
-,Mathematics 10,5201
-,"Together with Sanskritam with solution, term 2 ,Class 10",5506
-,"Sample papers : English cimmunicative, term 2, class 10",5499
-,Heart and mind,5484
-,Mathematics 8,3814
-,Geography 10,5483
-,Introductory micro economics 12,5461
-,"Sample papers solved: Social Sciecne, SA term-2",5448
-,Mathswiz,3818
-,"Sample papers solved: Sciecne, SA term-2",5447
-,"Sample papers solved: Social Sciecne, SA term-2",5445
-,"Sample papers solved: Hindi, SA term-2",5444
-,CBSE 15 practice papers,3822
-,"Sample papers solved: Sciecne, SA term-2",5443
-,Financial education work book,5440
-,Thea Stilton and the madagascar madness,5199
-,Financial education work book,5439
-,Twist your Brain 6,4032
-,Me aur mera vyakaran 8,3828
-,Financial education work book,5438
-,Practice mathematics 5,3830
-,Financial education work book,5437
-,English Grammar,4522
-,Financial education work book,5436
-,Grow with numbers 5,3834
-,Manika sanskrit vyakaran,3835
-,Learning science,5196
-,Manika sanskrit vyakaran 10,5194
-,Sanskrit vyakaran manika 8,5193
-,Financial education work book,5435
-,Financial education work book,5434
-,Financial education work book,5433
-,Financial education work book,5432
-,Financial education work book,5431
-,Full Marks Social Science,5422
-,Maths ace 5,3845
-,Workbook mathematics 7,4876
-, Biology,5418
-,Full Marks Social Science,5415
-,Nine hats : mathematics integrated coursebook 8,4879
-,New science in everyday life 7,3851
-,Mental math cum practice book 8,5188
-,Illustrated Oxford dictionary,5414
-,Tales from Shakespeare,5411
-,Last years solved papers 12,3855
-,Together with science 10,3030
-,36 series paper bank 2020 examination,1799
-,Foundation science chemistry,2891
-,Additional practice : mathematics 7,1976
-,Elementary mental mathematics 7,1978
-,The coward prince,2527
-,Gateway to science chemistry 10,2888
-,General Knowedge 2018,2454
-,Elementary mental mathematics 6,1997
-,New learnwell science 6,2512
-,Workbook mathematics 8,3222
-,Folk tales of west bengal,2625
-,Social science workbook term 1 10,2883
-,Extra marks social science 10,2877
-,CPA MATHS 5,1779
-,Max marks question bank social science 10,2035
-,Max marks question bank Science 10,2037
-,The sincere doctor,2624
-,Start up science  6,2042
-,Dora goes to school,2873
-,Physics 10,2059
-,Indian mythology,2079
-,Mathematics 8,1727
-,Living Science 8,1007
-,Princess pink and the land of fake believe,2089
-,Fact Finder Histroy,2620
-,Social science 10,1717
-,Basic Science 8,1011
-,Active teach : maths ace 7,3206
-,Start up Science 8,1012
-,Democrartic politics II: Textbook in political science for class 10,2858
-,Thea stilton and the lost letters,3204
-,The wonderful world of knowledege Transport,1703
-,Grammar Forever,1014
-,Madhurima : pathyapustak 5,2105
-,Folk tales of Gujarat,2615
-,Unmesh Hindi Pathyapustak,2853
-,Project work in Economics 12,1267
-,Interactice science 8,3195
-,Analysis of financial statements part B 12,2610
-,Pruquest Science 8,1019
-,5 minute stories for little ones,2108
-,Modern science,1022
-,New learnwell Science 8,1023
-,Hiccopotamus,2609
-,Chhota Bheem,2112
-,Millennium Science,3186
-,CBSE examination questions (with solutions )biology,2843
-,Grow with numbers 7,2629
-,Madhur 5,729
-,Navrang : pathmala 5,2113
-,Foundation science chemistry 10,2897
-,A brave beginning,1684
-,Gyanodaya Pathyapustak,2837
-,School science 7,734
-,Makrand 5,2127
-,Roots of Grammar,2834
-,Scholastic encyclopedia of Dinosaurs,1676
-,Empowering Science,1031
-,Basic Science 8,1033
-,Machines on the move,2606
-,Living world,1675
-,Compact Science 8,3163
-,Galaxy: a course in science,1036
-,Learnwell science,3160
-,CBSE Sample papers Accountancy 12 for 2020 exam,744
-,Makrand Hindi Pathyapustak,1278
-,Start up Science 8,3154
-,Famous scientists,1673
-,Together with CCE in social science,3134
-,Machines on the move,1663
-,Nayi baal sulabh mala 5,1652
-,Walt disney's : the fox and the hound,2169
-,Living Science 8,1638
-,A very naughty bear,3125
-,Gyanodaya Pathyapustak,2820
-,Empowering science 6,3124
-,English Grammar and Composition,2819
-,Muskan : pathmala 5,1635
-,5 minute marvel stories,2180
-,Chhota Bheem:bheem goes to the zoo,2602
-,Workbook mathematics 7,1273
-,Full marks 7,1263
-,Tales of love and adventure,2182
-,Indian Mythology:birth of ganesha,3122
-,Excellence in mathematics 7,1262
-,Gandhiji's autobiography abridged,2189
-,Marvel : spider-man home coming,2190
-,10 facinating facts about Dinasaurs,3117
-,Disney's simba and nala help bomo,2192
-,Marvel : spider-man homecoming,2193
-,Marvel spider-man : spidey's new costume,2194
-,Examkit in hindi 7,2203
-,Disney's aladdin,2213
-,Suyasha 5,1600
-,No bullying,2518
-,Workbook social science,2892
-,The sun,3110
-,Mathematics 11,2218
-,Mathsight 7,1590
-,The Grammar Connect 7,2226
-,Shri Krishna Natkhat Nand Gopal,2589
-,Mathematics 6,1588
-,The science hub 7,1583
-,Grammar and Creative Writing 7,2232
-,Sample question papers 9,1579
-,Grow with numbers 6,1569
-,Question bank  science 10,1164
-,Accountancy part A 12,2517
-,Periwinkle English 7,2247
-,Active teach : maths ace 6,1561
-,Indian mythology :birth of rama hanuman gets his name,3101
-,English Grammar 7,2250
-,The magical turtle,1559
-,Manthan Hindi Pathypustak,2764
-,Sunahri Dhoop Pathyapustak,2763
-,Maths magic : mental maths 7,1891
-,Manthan Hindi Pathyapustak,2761
-,Science 8,1531
-,Indian mythology: Birth of rama hanuman gets his name,3094
-,General knowledge,1530
-,Social science 10,1519
-,The magical Lamp,2580
-,English language and literature 9,1512
-,"Indian mythology: birth of rama, hanuman gets his name",3090
-,Science booster 6,811
-,Start up GK,1508
-,Indian mythology:birth of ganesha,3085
-,Computer science with python:textbook,1225
-,New Grammar Plus 7,2261
-,Maths quest 7,1081
-,Oxford new science in everyday life 7,1082
-,Mathematics coursebook 7,1083
-,À gateway to modern science 8,1505
-,What's what,1503
-,Workbook mathematics 8,1500
-,Mathematics 11,2267
-,Self study in Social science 9,1494
-,Knowledge cube,1492
-,Tha'ts right 6,1486
-,Exam mantra : sample question papers 10,3078
-,Now you know 6,1482
-,New approach to social science,2571
-,Xamidea complete course science 8,1461
-,Science 8,1094
-,Shrushti 5,321
-,The Grammar Gate 7,2284
-,The gita,3070
-,Roots of Grammar 7,2295
-,Ramayana for children part 2,3069
-,CBSE examination questions (with solutions)Biology,1097
-,Ramayana for children part 1,3068
-,"Success with getting ahead in social studies: History, Geography, Social and Political Life",3064
-,Growing with Grammar,1098
-,Question bank physics 12,3061
-,Active mathematics,1451
-,English language and literature,3059
-,Enhance our knowledge 6,1210
-,"Geronimo Stilton: run for the hills, Geronimo",3056
-,Magic with maths 7,3055
-,New era physics part 2,1890
-,Examguru Accontancy 12,2317
-,Maths wisdom 7,3053
-,Business studies 12,3052
-,CBSE Lab manual 7,3050
-,Micekings: the mysterious message,3049
-,Gyanodaya 5,2322
-,Millennium's science 6,838
-,Cavemice: a mammoth mystery,3046
-,The Grammarite,1104
-,Greatness of spirit : profiles of Indian Magsaysay award winners,1422
-,Manthan Hindi Pathyapustak,2493
-,Micekings : the helmet holdup,3042
-,Social science,444
-,What's what,1198
-,Stride ahead with Science 7,844
-,Nayi Udaan 5,2330
-,Science 6,1415
-,Raintree english : literature reader 8,2730
-,Indian economic development 12,2344
-,The sincere doctor,2559
-,Full marks science 8,1398
-,A gateway to modern science 6,851
-,Children's Big book of Knowledge,2349
-,CBSE max marks chapterwise question bank Maths 10,1963
-,MInd express,1197
-,Science 7,3027
-,Macro economics 12,2352
-,Science success 6,1393
-,Sunahari Dhup 5,2353
-,Workbook mathematics,472
-,Amrit Hindi Pathyapustak,1118
-,Science :textbook for class 7,1119
-,Bhashamani 5,2355
-,Active mathematics 5,1379
-,Business studies 12,2366
-,Maths is fun,1374
-,Galaxy a course in science 6,2502
-,Together with mathematics 5,1372
-,Maths wisdom,1369
-,Social science,2368
-,Social Science  10,2548
-,Workbook social science 10,2701
-,Skill Enhancer in English Language,1130
-,Information technology,2372
-,Geronimo Stilton: the phantom bandit,1352
-,India and the contemporary world-II: textbook in history for class 10,1133
-,Accountancy 12 part 1,2382
-,Start up mathematics 8,1346
-,Science workbook cum practice material,880
-,The monk who sold his ferrari,1335
-,Dinesh CBSE examination questions( with solutions ) Biology,1137
-,Gyanodaya Pathyapustak,2696
-,Science 8,885
-,Start up science  8,886
-,Introductory macro economics 12,2399
-,Interactive science 7,1326
-,Our environment :textbook in geography for class 7,3390
-,Our pasts  III: textbook in history for class 8,3389
-,English grammar 6,3387
-,Inpursuit of GK,549
-,Physics :textbook for class 12,3383
-,The magic school bus blasts into space,2504
-,Vatika 5,3375
-,General Knowledge now,553
-,Magic with english grammar 6,3362
-,Excelling :english grammar anf compositioon 8,3354
-,Vistas:supplementary reader in english for class 12,3353
-,Exam mantra : sample question papers 10,3342
-,Cinderella,3337
-,Great lives : sachin tendulkar the little master,3326
-,Great lives : ruskin bond,3319
-,Physics,3316
-,Learning maths 5,1318
-,Exam mantra : sample question papers 10,3308
-,Pradeep's science biology,3302
-,Moral stairs of mankind 5,3273
-,Life: a book of value education,3266
-,Marvel : super hero legends,3237
-,Hamlet:prince of denmark,3234
-,Pullout worksheets social sciences 8,1889
-,Window on the world 8,1888
-,A simple study of biology 9,1887
-,English grammar and composition 6,603
-,The mystery through  sven layers,2941
-,Integrated social science 8,1880
-,Gulliver's travel,2939
-,Pathway to grammar,607
-,I am a leaf,2508
-,Finding dory :an enchanting adventure,1873
-,Integrated social sience 8,1872
-,Social science 8,1871
-,Nalini : Pathmala 6,1899
